Yorum;Etiket
"kötü senaryo , kötü diyaloglar , shrek'in tirnagi kadar olamaz. 
";negative
"son zamanlarda sinemada izledigim en iyi yabanci film diyebilirim.film hiç beklenmedik bir sonla noktalanirken izleyenlerin kafalarindaki tüm soru isaretlerinin bir anda yok olmasi senaristin büyük bir bir basarisi bence.kaçirilmayacak bir film.... 
";positive
"izlenmesi gereken bir film insanlarin iç dünyalarina girmeyi basariyor iyi veya kötü nün sorgulamasi.. 
";positive
"sirf yavuz bingöl oldugu için bu filmi izlemyicem. memlekette oyuncu bitti ya!!! bu ve bunu gibi adamlar magazine oyucu beyazperdeye degil.. 
";negative
"su hillary swank çok güzel kadin izlemeye doyamiyorum gülüsü falan .... 
";positive
"tekrar tekrar tekrar izledim. yok yani içimi kabartiyor anlatilmaz tarif edilmez bi duygu yaratiyor bende.film denince akla bu gelmeli.. 
";positive
süperkahraman filmi, ama ergen isi..senaryo klise, klise...hep bilindik rastladigimiz durumlar..ama biraz eglendiriciydi.. 5-.;negative
"kaliteli bir film degil basit ve tam bir hayal kirikligi. 
";negative
"oyuncular harika olunca az para ile ne kadar güzel bir film cekilebileceginin kaniti iste..... 
";positive
"bu kadar muhtesem kendini kanitlamis bir filme zzz yorumlari yapilmasina inanamiyorum .... 
";positive
"filmi bu aksam izledim. kitap çok güzel uyarlanmis bence ve müzikleri bir harikaydi.kaçirmayin hemen gidin,izleyin.keyifli vakit geçirin.... . 
";positive
güzel bir filmdi izledigim güzel bilim kurgu filmlerden biriydi. herkese gitmesini tavsiye ederim109.;positive
serinin en kötü filmi diyebilirim, sizi sürükleyen bi heyecan yok, 3d çok anlamsiz kalmis,joony için izleyebilirsiniz sadece ama baska birsey ummayin...;negative
"benim için çok degeri olan bir film.gerçekten will smith'in oyunculugu çok büyük ve ben onu çok begenerek izleyen hayranlarindan birtanesiyim.filme gelince,böyle bir filmin de basrolündeki adamin meslegi ise tabiki bilim adami,askeri doktor olmalidir zaten  
";positive
"önce bir filmi izleyin ondan sonra yorum yapin be kardes.yorum kirliligi yapmayin.. 
";negative
"bn harry potter hayraniyim o bnm resmen hayatim amabu isi yilan hikayesine döndürdüler bu kadar ertelemenin ne anlami wardi herkes o kadar heyacanliyken birden filmi ertelediklerini açikladilar war mi böle bisi yaaa bn aylardr o filmi bekliyodum hiiç hewesim yok artikkk... 
";negative
"çok güzel bi film çok zekice düsünülmüs.... 
";positive
"çok basarili bir filmdi.komedi,fantastik,heyecan ne ararsan vardi filmde.. . ayrica robert de niro da nasil büyük bir oyuncu oldugunu kanitlar gibi oynamis... 
";positive
"mathieu chedid fani olarak müzigine ve sesine dayanamiyor insan , oldukça deli bir hikaye ama yine de sizi sürüklemeyi basariyor. 
";positive
"çok güzel bütün amacina ulasan bir film yapilmis.bilmedigimiz seyleri ögrendik ve çok düsündük bir o kadar da güldük.. 
";positive
"güzel bir gerilim filmi.izlenmesini tavsiye ederim.ancak filmin sonu basi kadar heyecanli degil 
";positive
"hem güldüren hem hüzünlendiren bir film.hatta duygusallikta bazen o kadar ileri gidiyorki zor tutuyorsunuz kendinizi yada tutamiyorsunuz ki bu en iyisi oluyor.gerçekten güzel bir seyirlik.. 
";positive
"izledigim en sikici bilim kurgu filmiydi. bosuna vaktinizi harcamayin derim.... 
";negative
öncelikle kesinlikle izleyin .. hic bilmeden aldigim bir filmdi ancak simdi arsivimde yeri olan gayet eglenceli sahnelerle dolu guzel bir film benim icin .. ozellikle filmin sonundaki sahne sovda resmen kahkaha attim benden 10 uzerinden 8.5;positive
"romandan uyarlanan filmlerin arasinda bence en iyisi...müthis görsellik,oyunculuk,senaryo...tek kelimeyle mükemmel.. 
";positive
"oyunculara bakilirsa flim cok iyi bence seyredilmeye deger .tim allen flana var cok deli flim olacak  
";positive
tam anlamiyla bir saçmalik.bunu yapana kadar en iyi buymus.ne yapmiski en iyisi bu olucak.matrix le karsilastiriliyor bide.matrix bu flimi 10 la çarpar 5 e böler.1 verdim puani düssün diye bu flim bu puani haketmiyor..;negative
tam bir fiyasko... uyumak için süper bi film...filmde tek dikkati mi çeken, bayanin telefon çaliyor melodi yildiz tilbe, o da ne telefonun mp3 özelligi yok... eski model bi telefon ama melodisi yildiz tilbe...bak sen su ise... geri kalan kisminda uyumamak için zorladim kendimi....;negative
"mel gibson tam bir ingiliz düsmani her filminde belirtiyor bunu. film yine cok iyi. biz kurtulus mücadelemizi böyle bir filmle simgeleyemedik. üzülüyorum bu yüzden.. 
";negative
"neden olmuyor anlamiyorum.türk sinemasi. nezaman paraya kiyip,sanata inanip aksiyonu montaji basarili bir sekilde bir filmde kullanabilecek.filmin senaryosu kült olacak bir konumdayken syrettigimiz film acinacak bi film olmus. neden???. 
";negative
"yorumlar çok komik erkekler kötülüyor kizlar savunuyor çocuk filmi klasik kurtadam zirvaligi vampirlerde ise günes isigina çikinca parlama koymuslar olmus size twilight  
";negative
bu film tamam kitap olarak güzel olabilir ama eger sinemaya çok düskünseniz bir filmi her yönden inceliyorsaniz bu filmin sinemada böyle yükseklerde olmamasi gerektigini anlarsiniz .5.;negative
daha önce 10 vermistim...allahtan tekrar puan verme sansi varmis...puanimi geri aldim ve 1 verdim...izlemeden efektler için vermistim. konu-mantik berbat izledikten sonra ancak 1 olacak dedim ve verdim..;negative
"mükemmel bir filmdi.masalla gerçek dünyanin içiiçe geçisini müthis görsellerle anlatan harika bir filmdi.izlerken gözlerinize inanamiyacaginiz çekimler var.kaçirmayin.. 
";positive
"hiç tavsiye etmem çok kötü bir film.. 
";negative
"son yillarda izledigim en güzel türk filmi.bir yandan güldürürken bir yandan hüzünlendirip aglatabilen dozunda ve yerinde kullanip iyi harmanlama yapabilen bir film.bütün oyunculari ayakta alkislamak lazim ve bu oyunculari yönetebilen çagan irmaki unutmamak tabi.. 
";positive
"bir kaybedis ancak bu kadar iyi yasanir hissedilir ve anlatilirdi. çok etkileyici bir film. bunda oyuncularin payida yüksek tabi. . 
";positive
tamam bi seylerin eksikligini hissediyorsunuz ama çok eglenceli bir film..çok eglenceli bir 80 dk geçirmek için ideal bir film...;positive
"sirf cage var die aldim filmi ama almaz olaydim,bu ne agir tempo yaa,inat ettim sonuna kadar izledim ama kesinlikle sarmadi film.tavsiye etmiyorum arkadaslar.... 
";negative
"çok çok iyi oyunculuklarla süslenmis iyi bir basari öyküsü.ben filmi sunus olarak kusursuz derece basarili bulamadim,gelisme ve final bölümü daha iyi anlatilabilirdi ama yinede fazla elestiri haketmeyen iyi bir drama.. 
";positive
"film gerçekten çagan irmaga yakisan bir film olmus.bide çetin tekindora büyükbaba rolü de gerçekten yakismis.filmi begenerek izledimve aglamamak için kendimi zor tuttum diyebilirim.. 
";positive
"harika bir film çok geç izledigim için üzgünüm siddetle tavsiye ederim. 
";positive
"filmin o muhtesem sonunu bilmeme ragmen yinede müthis bir zevk aldim filmden.film hikayesi ile o sonu unutturdu bana adeta ve saki önceden duymamisim gibi soke ugradim.harika bir film.mutlaka izleyin!. 
";positive
"bu filmi komedi türünde nasil degerlendirmisler anlam. veremedim.. 
";positive
"bir basyapit hakkinda ne yazilabilirki ne söylenebilirki,müthis bir animasyon film aslan kral........... 
";positive
"özellikle basrol oyuncusu nedeniyle vasat bir film . oyunculugu degil sesinin yumusakligi yüzünden ,bazi replikler bunu daha da kötü hale getirmis .. 
";negative
"çok güzel bir filmdi. macera ve bilim kurguyu sevenler için güzel bir örnek. izlemenizi tavsiye ederim... . 
";positive
"con air , nicolas cagei ile birlikte size eglenceli dakikalar geçirten güzel bir aksiyon filmi. ayrica lean rimes in  how do i live without you sarkisida filme çok sey katmis , dinlemek çok keyifliydi.... 
";positive
"simdiye kadar seyrettigim en kötü örümcek adam filmiydi.parker'in en sinir oldugum detayi ise örümcek adam oluyor duvarlara tirmaniyor ama ag atamiyor saçmaligin diki resmen.. 
";negative
"dün aksam izledim filmi sonunu getiremedim o kadar yavan ve saçma islemislerki konuyo çok kötü.... 
";negative
"film müsfette senaryosuyla kesinlikle anlasilmaz bir film . oldukça yavan ve inanilmaz sikici. 
";negative
"ya ben bugün çok duygusaldim ya da film hakikatten güzeldi...baya agladim diyebilirim.farkli bir konusu var siradan bir romantik film degil..begendim. 
";positive
"çok saçma ve gereksiz bir film. kurgu sifir, izlemeyin zaman kaybi. dünyayi kurtaran adam filmi bundan daha mantikliydi.. 
";negative
"degisik eglenceli bir film senaryo hüzünlü,oyuncular komik ama izlenebilir. . 
";negative
"izledigim en igren harry potter serisiydi. konu yok. akis yok. filmde surekli bir durgunluk hakim. ve en cok dikkatimi ceken. diger eski serilerin birbiriyle baglantisi vardi. bu bambaska birsey olmus. vede. yazik olmus. zaten devam bir filmi farkli yonetmen cektigi zaman sonuc husran oluyor. 
";negative
"dikkatle bakiyor musunuz? gerçektende dogru film finaliyle mükemmeldi.filmde bazi ip uclarini vermislerdi sonra teker teker dügüm dügüm açilmasi baya güzel oluyor kesinlikle izleyin derim..sihirbazla kiyaslanamaz bir film onu ezmis resmen 
";positive
"amatör bir film gibi. bu puani katiyen hak etmiyor. insallah devamini getirmezler. 
";negative
"jim carreye yakismayan bi film,senaryo bu kadadar mükemmel bir oyunculuga yetememissss. ben gitmeyin derim,zorla gülmeye çalisiyorsunusss. 
";negative
fox tvde her 1-2 ayda sansürler yüzünden 150 dk yayinlanan saheser.kesinlikle orjinal dilinde ve dvdde izlenilmeli.;positive
bence 'oyuncak hikayesi 3' e gidin..en azindan yetiskinlere o daha çok hitap ediyor...;negative
"izledikçe daha çok vur, daha çok öldür diyorsunuz. çok sürükleyici ve etkileyici bir film. kendine has bir üslubu var. mutlaka izlenmeli.. 
";positive
"iste bu.... 
";positive
"ilginç olan bu filmdeki hikayeye benzer bisey yasamis olmam. çok sükür ki musallat olandan kurtuldum.... 
";negative
"aslinda bunun katilikla alakasi yok sadece saygi duyulmali bazi seylere...vampir dedigin dedigim gibi olur tepkim böyle usta bram stockera saygi. 
";negative
hayatimda izledigim en iyi filmlerden biri muhtesem bir film tom hanks performans  filmde 10 üzerinden 10.;positive
"irak yerine yanlislikla meksikaya giden birkaç amerikan askerin hikayesi..çok basit espriler,davranislar var.sikilabilir,gülmeyebilirsiniz.gerçek komedi filmleri varken bu filmi izlemeye degmez.. . 
";negative
desterenin beyazperde puani suan 3,1 acaba rekoru kirilir mi bu film ile onu çok merak ediyorum ayrica salih kalyon hariç diger oyuncularin hepsi amatör insallah yanilirimda türk sinemasi iyi bir filme kavusur diyecem ama konu itibariyle çok zor görünüyor.;negative
"hollywood emekli aktörler derneginden çikma bir film gibi duruyor.kadroda bolca ünlü oyuncu yer aldigindan ilgi çekecegi muhakkak ama açikçasi benim filmden çok bi beklentim yok.muhtemelen abartili bir çok sahnenin yer alacagi ucuz aksiyonlardan biri olacaktir.izleyince görürüz,umarim yanilirim 
";negative
"izlenmesi gereken filmlerdendir.. 
";positive
"harika bir filmdi.mel gibson,senaryo,müzik,diger oyuncular her sey harikaydi.müzikleri de çok etikledi bni.tv de sansürlü izledigim halde bu kdr begendiysem dvd de izlesem nolur siz düsünün. !. 
";positive
"kaliteli oyuncular iyi oyunculuklar vasati senaryo . 
";negative
"bes para etmez. 
";negative
"izledigim en saçma filmlerden biriydi. o kadar ask filmi izledim hiç böyle saçmalanmisini görmedim. bu kadar bos bir film olmaz.filmin adina ve basrol oyuncularina bakipta izleyim demeyin . 
";negative
güzel film.asansör sahnesinde kalbim duracakti sanki.çok ürpertici ve korkunç.mutlaka izleyin.bu arada 1408 adli film ile benzerlikleri çok var.aniden degisen odalar.aniden ortaya çikan ruhlar vs....sonunda konusu sapitsada izlemeye deger..;positive
". 
";positive
"film bir sey anlatmaktan uzak,oyunculuklar vasatin altinda,senaryo ilgi çekmiyor..salondan çikmak istedigim ender filmlerden..bu yönüyle takdire sayan... 
";negative
"bence tüm zamanlarin en kötü filmlerinden biri.. çok sikici.çok klise.. ilk filme göre çok çok basarisiz. . 
";negative
"filme girerken çok umutluydum fakat çok büyük bir hayal kirikligi yasadim. film sirasinda sürekli simdi heyecan verici birsey olacak diye beklemekten salondan çiktigimda yorgun düsmüstüm. üstelik etkileyici bi rsahne bile olmadi.. 
";negative
"filmini çekmekle ugrasmayi fotoroman olarak birakmaliymislar , bosuna zaman kaybi. 
";negative
"rhopipe£ye cani gönülden katiliyorum film baslayip edward bellaya benimle evlenirmisin deyip bitseydi su çöp yiginindan daha iyi olurdu çünkü filmdeki tek olay bu. 
";negative
"güzel bir filmdi film modern bir masal gibi ama gayette hos olmus sonunu tahmin edebiliyorsunuz çogu masalda öyledir ve mutlu sonla biter bu filmde öyleydi gayet hos buldum.... 
";positive
"quantin tarantinonun ne kadar iyi bir yönetmen ve samuel jackson in da ne kadar iyi bir oyuncu oldugunu görmek isteyenler bu filmi izlesin .... 
";positive
"sirf ali sürmeli var diye seyrettigim ama begenmedigim bir film.vermek istedigi mesaj yerine ulasmamis dar kaliplara sigdirilmis konuyu bir türlü açamamis.. ama yinede . 
";negative
"gayet klasik pek de komedi olmayan bi filmdi... 
";negative
"rezalet,kizmayin ama tam çöpe atilacak bir film,sinema salonunda millet sohbet edip kakara yapmaya basladi.bu ne türk sinemasi ne hale geldi ya!. 
";negative
çagan irmaga yakismadi bu filmama 2. bölüm güzeldi. en azindan neye varmak istedigini anladim sonuna dogru;negative
"film oldukça güzeldi dramiiyi hazirlanmis be diger film(atalarimizinbayraklarindan)kat be kat güzeldi sonu çok iyi hazirlanmis bir film. 
";positive
"harry potterin en kötü filmiydi diyebilirim.. hiç begenmedimm. 
";negative
"en sevdigim filmlerden biri. 
";positive
çok durgun ilerliyo,hatta sonlara dpgru yeter artik bitsin diyosunuz.puani enfazla 7 olabilecek bir film.bu türü sevenler birde cennet gibiyi seyredin.aradaki farki anliyacaksiniz....;negative
"fene degil. 
";positive
"cok kotu.kurgusuz ve izlemeye degmicek bi film. 
";positive
"harika yani insanin dinimizin dogusunu mükemmel bi sekilde beyazperdeye uyarlanmiss anthony quinn oyunculugu kusursuz bas yapit. 
";positive
"flim hem kisa hem dön dolas ayni sahleri izlemek sikici bence güzel degil. 
";negative
"kesinlikle çok güzeldi john cusack tek basina götürmüs filmi muhtesemdi. 
";positive
"her ne kadar filmi yönetmese de filmin yapimcisi olan steven spielbergün isin içine gerekenden çok girdigi heryerden belli.uzaylilari vahsi bati hariç her yere indirmisti.bir tek burasi eksikti.onu da bu sayede tamamlamis oldu.yazik.... 
";negative
"bu film bile bu puani aldiysa artik yuh diyorum yaa. 
";negative
"gerçekten güzel bi film.bazi yerleri uzatilmis ama izlemek lazim.otur izle. 
";positive
"film tam anlamiyla berbat.. tamamen zaman kaybi..çok abartili bir senaryo... zaten filmin yarisinda çiktim... paraniza ve zamaniniza yazik siddetle gitmemenizi tavsiye ediyorum !!. 
";negative
"oldukça güzel bir film iyi ki izlemisim  
";positive
"müzikal seviyorsaniz izlemenizi tavsiye ederim.. eglenceli bir filmdi.. . 
";positive
"saçma ve gercekdisi bir konu. 
";negative
vasattan öteye gidemeyen, insanlara küfrederek, hakaret ederek ve asagilayarak güldürü yaptigini sanan, teknik açidan oldukça kötü, tvde bile zor dayanilabilecek kötü bir film serisinin üçüncü ayagi. espriler orta 2ye giden çocuklarin yapamayacagi seviyede..;negative
"filmi bugün izledim gerçekten son zamanlarin en iyi dram filmlerinden biri... oyunculuk da senaryo da çok iyi herkese tavsiye ederim  
";positive
hayalkirikligi, sinema adina birsey yok. oyunculuk yok çocuklar kendi oynuyor, kurgu, efekt, konu zayif. dogal bir yasami zayif bir kamera ile çekmis. merak için izlenebilir. 4 puan.;negative
3d tecrübesini daha önce yasamayanlar kesinlikle kaçirmamali...çok eglenceli..;positive
"film senaryosu ve akil dolu sahneleriyle '' su anda sirri ariyorsunuz ama bulamazsiniz çünki dikkatli bakmiyorsunuz. siz sirri çözmek degil, kandirilmak istiyorsunuz.'' müthis gerçekligiyle olaganüstü bir film. kesin izlenmelii. . 
";positive
"cinsellik film konusunu olusturuyor.o yüzden erotik sahneleri fazla bulabilirsiniz.ama senaryo o kadar zekice yazilmis ki filmin ikinci yarisinda gerçeklesecek olan olaylara inanamayacaksinz.kim ne derse desin korku-gerilim tarzi filmleri seviyorsaniz kaçirmayin.. 
";positive
"son zamanlarda izledigim en iyi filmlerden biri özellikle finali çok güzel baglamislar,sikilirim diye basladigim filmin basindan hayranlikla kalktim.. 
";positive
"film gerçekten beklenilen düzeyde degildi. daha iyisinide yapabilirlerdi ama genede güzel tebrikler.... 
";positive
"vampir yazisini görüpte ön yargili davranmayin tom cruise ve brad pitt ile belkide en gercekçi vampir filmi yapilmis ex ex ex ex mükkemmel...gercekte vampirler olsa böyle okurdu galiba. 
";positive
"hüzünlü bir film ama yine mutlu oluyorsunuz izlerken.. gözleridoluyor insanin ama yüzünde bir tebessüm birakiyor yine de. çok güzel bir filmdi.. ben yalniz izledim ama sevgili ile izlenirse daha etkili olabilir.. 
";positive
"kesinlikle izlemenizi öneririm.. arsivlik bir film... 
";positive
kesinlikle gitmeyi düsünmüyorum. 'eskiya' filmi disinda malesef adam gibi türk filmi görmedim filmin fragmanini 3 defa gördüm, pek gidilesi bi film gibi durmuyor açikçasi, korsan dvdsine 3-4 lira vermege bile degip degmeyecegine emin degilim..;negative
"para kazanma amaçli yapilan berbat bir devam filmi olmus!ben birincisine bayilmistim ama bu tam bir hayalkirikligi! allahtan sinemada falan gitmemisim de dvdsini kiralamisim! . 
";negative
bu yönetmen ve senaristin 2 filmi var biri 18 ler takimi digeride bu ikisi 2.8 fazla alamamislar yani ne diyim bu filmin için harcanan zamana na mi paraya mi bilemiyorum.;negative
"çok güzel bir intikam filmi olmus.filmi izledikten sonra kendinizi rahatlamis hissediyorsunuz.... 
";positive
o kadar da güzel bir film deil 6 lik bir film en ii amerikan komedi filmi demeyin lütfen amerikan komedi filmi izlememissiniz herhangi bir amerikan pastasi filmi bundan kat kat ii ve güldürücüdür.;negative
"yarisinda terkettim musallat filmini. artik internette yazilan gidin iyiydi yorumlarina inanmam,film inanilmaz kötüydü.. 
";negative
inaniyorumki burdan 3 arkadasla kafa kafaya versek,filmin emdigi 2 saatte daha dolgun bi yapit çikartabiliriz ortaya..en azindan sunu basarabiliriz, izleyiciyi esnetmeyiz;negative
"prestij tipki bir sihirbaz gibi sasirtiyor izleyiciyi! senaryosu ve kurgusuyla harika bir yapim gerçekten de, izlenmeli.. 
";positive
"sinemada kurgunun, senaryonun, oyunculugun, yönetmenin ne demek oldugunu nasil iyi yapilacagini çok iyi anlatan türünde kült olabilecek örnek bir yapit. hersey sahene, zaman, mekanlar, kostüm, müzik vs.. oyuncular ise beni sok etti. özellikle bale film finalinde bunu çok iyi kanitladi.. 
";positive
nicholas cage in en iyi filmlerinden biri film kendini birkaç kez izlettiriyor nerdeyse televizyonda her görüsümde izlemisimdir bos yere kötü yorum yapmaya gerek yok 10 üzerinden 10.;positive
"genel de sinema da korku ve gerili filmlerini izlemeyi severim.ama izledigim en kötü filmdi tavsiye etmem.... 
";negative
"inanilmaz kötü bir film tamamen para ziyani. 
";negative
vakit geçirebileceginiz pazar günü televizyon filmleri tadinda olan bi sey..ama 8.2 puani haketmiyor bence 7 civari bisey olmaliydi belki sikilmiyorsunuz ama basitligi çok ön planda..bu yüzden 7 veriyorum.;negative
"gayet iyi bi film olmus savas halini ve sözde baris halini çok iyi anlatmis. . 
";positive
"filmi izledim.yapilan tanitimlar fragmanlar bende filmin görsellik açisindan çok iyi oldugu izlenimini yaratmisti ama izledikten sora öyle olmadigini düsünüyorum çok eksik konu olarak da izlenebilir yinede. 
";negative
"safak sezer , aydemir akbas bakalim hangisi daha çok küfür edecek  yazzik ya üzülüyorum gerçekten,yabanci film olsa oyuncular tanidik olsa bu kadar önyargili olmam ama yapacak birsey yok millet olarak hep ayni seyleri yapmayi adet edinmisiz.... 
";negative
tarihte ingiliz sömürgesi olan devletler,bu tür filmlerden çokça üretmistir.ancak,cesur yürek tartismasiz 1 numara.titanic ve godfather ile birlikte müzik dalinda cesur yürek'in yeri baskadir...özellikle catherine mccormack'in attan düsme sahnesi harika ve çok ama çok dogal....;positive
"berbat fim. . 
";negative
"arkadaslar böyle basit ve saçma bir film izlememistim konu yok oyunculuk zayif kisacasi bu filmi izledikten sonra vay halimize dersiniz. 
";negative
"tamam kadro güzes olabilir oyuncular süper ama film berbat bukadar saçma bukadar siradan bir konuyla film çekilmez artik bunlar klasik film konusuna girdi bence bosu bosuna zaman kaybi hiç gitmeyin derim dvd sini alip evde izleyebilirsiniz . 
";negative
"çagan irmak istersem sizi yerlerde süründürürüm aglamaktan ama araya mizahi ögelerden koyayimki içinizin çilki çikmasin demis.siradan islenen bir yesilçam konusu fakat iyi bir yönetmenin elinde nasil bir hal aliyor ortada. çok güzel film tsk çagan irmak ve emegi geçen herkese. 
";positive
en iyi 10 filmim arasindadir. bu film sadece bir vampir filmi olmanin çok daha ötesinde. izlemezseniz çok sey kaçirirsiniz..;positive
"film öncelikle iyi bir film yani izlenebilecek bir film.ksinlikle kötü degil.ama bir yerden sonra insan biraz sikildigini hissediyor.sanki gereksiz yere uztmislar.ama senaryo ve kurgu iyiydi derim.bu arada kevin costner da çok iyidi tabii ki.. 
";positive
"mükemmel ötesi. 
";positive
prestij kadar ii bir sihirbazlik filmi islememistim.. sok bi son son yane.filmin sonunda kopuk bi vaziyette kaldik abi yaa... kisacasi 10 numara....;positive
"tam bu filmi izlerken bir yakinimin ölüm haberini aldim..o yüzden ne zaman bu filmi görsem içim bi degisik oluyor... 
";negative
hugh jackman a hastayim ama bence bu filme 9.1 çok..sihirbaz in senaryosu ve sasirticiligi daha fazlaydi..asil o film hakediyo 9 un üstünü..ama tabi bu filmede hayir demem.. .;positive
"çok iyi bir öykü, muhtesem oyunculuk ve usta görsel efektler bir araya gelince böyle güzel bir film ortaya çikmasi kaçinilmazdi.bir tek oyuncu ile bir film bu kadar sürükleyici olabilir.son ana kadar heyecanim ve merakim sona ermedi.. 
";positive
hayatimin 2 saati bosa gitti. bunu filmi üstelik hd olarak izleyen ve vampir filmlerini çok seven birisi olarak söylüyorum. senaryo sifir, efektler saçma, konu çarpitilmis... .;negative
"verdigim paraya yazik..safak sezere hiç yakismamis..tamamiyle zaman kaybidir..filmin ortasinda çikanlari sayamadim... 
";negative
"çok güzel bir film olmus çok güzeldi açikçasi çok begendim mutlaka izlenmeli. 
";positive
"izledigim en berbat türk filmlerinden. 
";negative
izledigim en iyi film. tekrar tekrar izlemekten sikilmadigim bir film. 6-7 kez izledim ama yine izlerim. bu filmi izlemeyen birisi film izliyorum diye geçinmesin.;positive
"gerçekten çok güzel bi film sonuda çok üzücü ama kafamda bir soru isareti var neden sinemalarda oynamöadi çok güzel bi film olmasina ragmen. 
";positive
"harika bir film,bazi yerlerde agladim,bazi yerlerde güldüm,filmin her dakikasi buram buram romantizm kokuyor,filmin etkisinden uzun süre cikamayacaginiza eminim.ayrica filmde calan love you till the end sarkisi çok güzeldi  
";positive
"benim gerçekten çok hosuma gitti.. savas sahneleri etkileyiciydi. izlemenizi öneririm.(edmunda dikkat)=)). 
";positive
"oldukca vasat,bayagi uzerinde hic dusunulmemis dialoglar,basit kostumler,yavan ve agdali oyunculuklar...son zamanlarda izledigim en kotu film malesef.... 
";negative
film berbat bir anime hastasi olarak bütün bölümlerini 15 20 defa izlemis biri olaraka filmle gerçegi arasina uçurum var karakterler hiç olmamis özellikle goku ve hocasi klasik amerikan gençlik filmi gibi zzzzzzz.;negative
tahmin yaptim arkadaslar filmi izledim demedim,10 üzerinden 4 alirsa basari olur dedim,iyi okuyalim lütfen.;negative
"çagan irmak türkiyede nadir bulunan yönetmenlerden bence...film yönetmeyi çok ii biliyo ve seçtigi oyuncular da harika.bence babam ve oglum da böle ben de izlediim en ii türk filmi diyebilirim bu film için rahatlikla . 
";positive
dvd sini nerdeyse 3 hafta önce izledim.ve sasirdim demekki hala vizyona girmemis.bence süper süper bir müzikal.kostümler de harika 60 li yillari yasatiyor adeta..;positive
"tek kelime ile muhtesem bir film.robert de niro'nun oyunculugu muhtesem kaçirilmamasi gereken bir film ve devaminin çekilmesi lazim.. 
";positive
çok hos bi filmi gerçekten komik,egelenceli,sikmayan bi havasi vardi konuda güzel olums 10 üzerinden 9 hakketti.;positive
"çok çalisilmis dans gösterileriyle ve sarkilarla izleyicilere sunulmus bir ziyafet...gençligin dinamizmiyle birlesen tecrübeli oyuncular...çok güzeldi. 
";positive
"sinemada izlemem izlenebilirligini artirdi sadece , yoksa bi özelligi orjinalligi olmayan bi film... 
";negative
film güzel gerçekten ama sonlara dogru birseyler eksik gibi gelmeye basliyor. biraz daha ugrasilsa 10 numara film olabilirdi. gereksiz hizli geçiliyor son kisim. yine de siddetle tavsiye ediyorum..;positive
filmi ilk çiktigi zaman izlemistim, çok begenip 2 kere gitmistim sinemaya . üzerinden o kadar zaman geçmesine ragmen hala her sahnesi aklimda!.;positive
ya bu filme 9 puan veren adam utanmali yaw film süper.;positive
"en güzel özelligi açik uçlu bir senaryoya sahip olmasi ve izleyen insanlari düsünmeye zorlayip, farkli kutuplara çekmesi.... 
";positive
"geçen gün dvdsini aldim daha sanirim türkiyede vizyona girmedi çok seker bi film özellikle dax ve danew ini oyunculugu bomba. 
";positive
"mükemmel kelimenin tam anlamiyla mükemmel bir film hiç de sikilmadim will smith de inanilmas oynamis. 
";positive
"kelimenin tam anlamiyla vasatin altindaydi.sadece ilk kirk dakikasini izleyebildim.sonra dayanamadim kapattim.. 
";negative
çizgi filmde önemli olan küçük filmde atlanmis sadece esas konuya deginilmis. bu durumda filmi beklenilenden kötü yapmis. özellikle filmde 3. boyut adina nerdeyse hiçbir sahne yok. bu serinin ilk filmi oldugu için, sinemaya giderken pek fazla beklentiler içerisinde olmamanizi öneririm..;negative
"filmin ilk yarisi erotik ikinci yarisi vahset.. ama yinede çok gerçekçi bir film.. çok da güzel... 
";positive
"kesinlikle izlenmemesi gereken berbat bir amerikan filmi.. 
";negative
"hayatimda izledigim en güzel bilimkurgulardan biri bence oscar bu filme layik degil oscar üstü biseyler verilmeli. 
";positive
"yine o son zamanlarda yapilan dünyanin sonu veya felaket filmlerinden bi tanesi .aksiyon beklntisi olanlar filmi izlemeken zevk almayabilir,çünkü aksiyon yok denecek kadar az.öylesine izlenecek bi film .yani aman amn bi film degil.çok sikiliyo insan kasiyo biraz.ben begenmedim. 
";negative
rezalet bir film giderek bosuna zamaninizi ve paranizi kaybetmeyin , nasil 7 puan almis ona sastim , gayet berbat bir film.;negative
"john goodman'in kariyerine en büyük darbeyi vurdugu bu filmi ilkokul çagindaki çocuklara öneriyorum.. 
";negative
"bence muhtesemdi..sinemada izledigim için çok mutlu oldum...wwooowwww dersiniz...demelisiniz... bilim kurgu..fantastik.. yani budur iste yaa..bayildim öldüm bittim... favorim.... 
";positive
"bir sürü güzel yorumu okuyarak gittim, bende begenmedim, haluk bilginer ve mustafa sandal iyiydi. baska iyi bir sey göremedim. evinizde izleyebilirsiniz.. 
";negative
"çok eglenceli çok anlamli bir film.aile olmanin önemini çok güzel bi sekilde anlatmislar.izlenmesi gereken bir film.... 
";positive
"bu ne bee yani bende bisey zannettim. filmin afisine bakipta aldanmayin. kötü çok kötü. 
";negative
kötü , gerçekten kötü. tam bir hayal kirikligi...çizgi filmini çok sevmis ve bu filmi hep beklemistim ama çok üzüldüm. çok iyi bir film olmasa da olur du ama bu kadar da kötü olmaz ki ??? film kesinlikle 12 yasin altina göre....;negative
bu ne yaaaaaaaaaaaaaa ben bile daha iyi film çekerim notum 0.0.0.0.0.0..;negative
"güzel film ...tavsiye ederim..  
";positive
"aktörler dekorlu güzellestirmek disinda bir ise yaramiyorlar, hepsi birbirinden kötü. 
";negative
