Yorum;Etiket
"az önce izledim ve mükemmel bir film kesinlikle izleyin izlemeyen çok sey kaçirir hayata dair.... 
";positive
"ben bunun kitabini okudum...bu kitabin filmi güzel olmaz hareketli hiç bi bölüm yoq kitapta daha farkli bi zevk olucaini tahmin ediorum. 
";negative
"ben bu filmi daha yeni izledim.keske daha önce izlemis olsaydim.harika bi film.tom hanks zaten basli basina süper onun için baska bisey söylemeye hiç gerek yok.izlemeyenler mutlaka mutlaka izlesin. 
";positive
suursuzca 1 verme istegi doguran bir fragman..;negative
"bu filme mükemmel diyenlere inanamiyorum hayatlarinda gerçekten güzel film izlememisler çok vasat bir filmdi izlemekten zevk almadigim bir filmdi. 
";negative
"izledigim en kötü komedi filmlerinden bir tanesi.... 
";negative
tek kelimeyle inanilmaz bir film. 100 yilda bir gelir böyle yapimlar eger hala izlemeyen varsa biran önce bulmaya çalissin cd sini;positive
"bi teksas katliami daha, ama bu sefer daha iyisi..vahset istemiyor musunuz alin size vahset... 
";positive
"harika ßir final çok iyi oyunculuklar. 
";positive
"bu filmi sonuna kadar izleyebilirseniz izleyin,unutmaniz kaçinilmaz olacak zaten.sahsen ben tahammül edemedim.. 
";negative
"harika bir yapit. defalarca sikilmadan izlenilebilir.. 
";positive
"bu film aldigi bu  oyu bile haekmiyor.. 
";negative
"oldukça sikiciydi.. oldukça! konusu çok saçmaydi... basit bir yapim.. 
";negative
"kesinlikle ilk besime giren bir film. bu filmle tom hanks en iyi erkek oyuncu ödülünü aldi. filmin afisine bu filmi izledikten sonra hayata bakis açiniz degisecek yazmislar bence bosuna degil. eger hala izlememissen kalk o bilgisayarin basindan ve su filmi kirala..!. 
";positive
"ilk film iyiydi ama bu gereksiz bir film. 
";negative
"tek kelimeyle harika bir film. konusu, kurgusu, oyuncu performanslari hakikaten fevkalade.. . on üzerinden, dokuz puan veriyorum.. 
";positive
"sonuna kadar harika ama final rezalet.ayni kirik ok gibi bitirmisler.sirf bu yüzden . 
";negative
"yorumlara kanarak izledigim insani hüzün konusunda asla etkilemeyen düz siradan bir televizyon filmi.. 
";negative
"anthony hopkins tipki hannibal lecter karakteri gibi yine dehasiyla izleyiciyi etkilemeyi basariyor. gerçekten zeka ürünü bir öykü. çok begendim. 
";positive
"filmi izlemeden önce film güzel diye düsünüyordum. fakat yanilmisim konusu çok kötü. film komedi türünde olmasina ragmen filmde hiç espiri yok. bosuna beklentiye girmeye gerek yok. vakit kaybi ve verdiginiz paraya yazik. kötü ögretmen bu yil izledigim en kötü filmlerden biri. . 
";negative
"bol aksiyonlu,çok az dramli sahneleriyle türü ile olusumunu tam anlamiyla tamamlayamamis olsada sonuç olarak güzel ve basarili bir film...... 
";positive
"hayatimda izledigim en iyi filmlerden biriydi . 
";positive
"böyle bir rezalet yok... resmen aglicaktim sinirimden... film de hiç bir aksiyon hiç bir heyacan yoktu kesinlikle gitmeyin arkadslar. saatlerinize zamaniniza yazik.... 
";negative
"senaryosuna hayran olunasi film. william hurtin oyunculugu da gerçekten tatmin ediciydi. . 
";positive
"çetin tekindorun oyunculugu hariç hiç bir özelligi olmayan sonuda filmden kesinlikle baglantisiz(cüzzam)saçma sapan bir yapim . 
";negative
"gercekten cok abartiliydi klasik senaryosuyla nuhun gemisinin yeni versiyonu gibi dunyanin sonu vs.... 
";negative
"rezalet bi film sakin gitmeyin. 
";negative
birçok kisinin aksine birkaç yer hariç gülmedim ve sinemada kahkaha atanlari saskinlikla izledim ve sonra sinir oldum, bence,recep ivedik3 bile bundan güzel. . maalesef.;negative
"eger müzikal sevmiyorsaniz kesinlikle bu filme bulasmayin,kabus gibiydi benim için bu filmi izlemek. 
";negative
hayatimda sinemada izledigim en igrenç film, hatta son sahnesinden sonra 2 gün sinirden kendime gelemeyip verdigim ücrete 1 sürahi su içtigim bir film.;negative
film on üzerinden 6.5 verilir. sadece film sonu harika o kadar filmde heyecanlanan sahne yok derecede kadar az, bu da filmi çok sikici yapiyor.durgun gerilimlerden hoslaniyorsaniz gidebilirsiniz.....;negative
"bu filme gelinceye kadar izlen,lmeyi hak edecek onbinlerce film var.eger elinizde baska bir film yoksa izleyin derim.sadece son sans olarak izlenebilir.. 
";negative
bence tam bir gençlik filmi... 14-15 yasa hitap ediyor... evde çok bos vaktiniz varsa dvd sini izleyebilirsiniz .;negative
"çok vasat ve bogucu bi filmdi.tavsiye etmiyorum. 
";negative
"ilkinin sempatik oldugu kadar düz bu film.hiç bir duygu yok , basi sonu olmayan bir hikaye. 
";negative
"simdiye kadar izledigim en sikici, en kötü, gereksiz bir filmde diyebiliriz ... 
";negative
"hayatimin filmi bu film ve baba filmi baska söze gerek yok.mel gibson mükemmel bir is yapmis bizdede onlarca kez ilemek kaliyor... 
";positive
"film savas sahnelerinden ziyade japonlarin onur ve seref gibi kutsal saydiklari olgulara vurgu yapiyor.filmi bu yönüyle izlemek daha iyi olur.. 
";positive
"film benim için hayalkirikligi oldu, beklentilerimden çok uzak kaldi. yaklasik olarak filmin  ünde tarihin en vahsi ve büyük imparatorlarindan birini asiri duygusal ve ezik olarak lanse etmisler. bir de filmin sahnelerinde kopukluklar var. ben begenmedim.. 
";negative
"süper bir film..çok ama çok begendim..filmin hiçbir eksigi yok aklima bir tane bile olumsuzluk gelmedi..filmi basindan itibaren heyecanimi hiç kaybetmeden izledim... 
";positive
"filmde insani düsündürmeye sevkedecek hiç bir sey yok. çok seviyesiz bir film. komedi bile yok denecek kadar az. senaryo yazarlarimiz biraz daha üretici olup daha degisik senaryolar yazmalari ümidiyle.. 
";negative
"bu film nasil olur da birden bu kadar renkli hale gelebilir...bayildim.... 
";positive
"dikkatle bakiyormusunuz diyerek baslayan, film boyunca dikkatinizin dagilmasina müsade etmeyen, akici anlatim etkileyici senaryo.... . bir basyapit olamayacaksada ""mutlaka izlenmesi gerek"" listesinde yer almasi gereken bir yapim.... 
";positive
"çok ahim sahim bir film degil ama izlenebilir bir film. sikici degil en azindan. 
";positive
"mükemmeldi.muhtesem bir ask hikayesi ve çok etkileyici.mutlaka izleyin . 
";positive
"hiç begenmedim. konu iyi olabilir ancak kliselerle dolu. bir anda çok fazla konu islemeye çalismis ve basarili olamamis. dramatik sahneler art arda. hadi seyirci agla artik modunda. begenmedim.. ayrica teknik açidan da sikinti vardi. açi yaraticam kadraj yaraticam diye kasmis resmen. begenmedim... 
";negative
resident evil, 28gün sonra'dan daha basarili oldugunu düsünüyorum. kurgular, genis kadraj çekim çok basarili olmus. özellikle will smith'in köpegiyle uyumu filme ayri bir izlenirlik katiyor. izlemeye degecek güzel bir sinema filmi..;positive
"izledigim en saglam filmlerden. sonu da çok duygusaldi.... 
";positive
"kesinlikle çok kötü bi film,bosa zaman kaybi,kliselerle dolu fakat o kliseleri bile sunmayi bilmeyen bol para harcanmis ama efektleri dahi kötü olan bombos bi film. 
";negative
"kesinlikle hayal kirikligi diger korku filmleri gibi artik testerede bol bol mide bulandirici sahne var yani ilk bölümlerdeki zeka tamamen bitmis ve klasik kanli bi korku filmine dönüsmüs.... 
";negative
"bence izleyici verilmek istenen his anlatimi cok iyi yansitilmis.cok iyi bi filmdi.tereddüt etmeden izleyin.. 
";positive
hala yapim asamasinda hala yapim asamasindabenim merak ettigim he-man mi önce çikar yoksa magneto mu?2011 yilina raziyim ben arkadaslar.;positive
"eglenceli bir film  
";positive
"çok sikici, film bitsin diye dua ettim.. 
";negative
"freddie highmoreun insanin içini isitan gülüsü için bile defalarca seyredilecek bir film.. veee robin williams.. bu adam bir filmde öylece dursun yeter.. bu defa itici bir tip canlandiriyor ama olsun... 
";positive
"ya hala anlamiyorum neden bu puan?bu film bosunami izlenme rekorlari kirdi sadece bizim ülkemizde deil baska ülkelerdede izlendi çok harika bir film bnce katilmiyorum kötü diyenlere bin defa oy kullanilsa bin defa  veririm. 
";positive
"bu sey filmmiydi. inanilmaz ya... asacan bikaç tanesini hergele meydaninda bak bi daha yapabiliyolar mi!!!. 
";negative
"bende çok merak ediyorum filmi. umarim hayal kirikligina ugramam. 
";positive
"bence absürd konulu filmlerden ve saçma sapan esprilerden nefret edenler gitmesinn,izlemesin bile.konu desen belli degil.ince esprileri sevenler için iyi bir film degil.isteyen sever isteyen sevmez herkesin kendi düsüncesii.... 
";negative
"cok guzel bi film.hersey yerli yerinde kullanilmiss harikaydi yau. 
";positive
2008 yilinin ilk hayalkirikligi bana göre. çok yapay bir film. simdiye kadar izledigim en vasat smith performansi diyebilirim. film çok havada kalmis, bölük pörçük derdini tam olarak anlatamamis. bana tam bir fiyasko.;negative
"agir tempoda fakat güzel bir film oyunculuk üst düzey tavsiye ederim.... 
";positive
"bilim kurgu film sevenler için biçilmis kaftan.. senaryosu öylesine kuvvetli ki, uzun süresine ragmen, filmin akisina kendinizi kaptiriyorsunuz.. robert de niro, nami diyar captain shakespeare karakteri güldürüyor  . . 
";positive
"bence güzel bir film olmus dramatik aksiyon diyebilecegimiz bir tarzi var filmin. oyunculuklard da güzeldi zaten bi filmde mark wahlberg varsa o film kötü olmaz.. 
";positive
"anlamadim bu filmde ne buldunuzda o kadar olumlu elestiriler yaziyorsunuz.bence türk parasiyla bes kurus etmez artik euro göre kiyaslamayin sakin.. 
";positive
"gerçekten berbat bir film.finali baglayabilselerdi idare edebilirdi.izlemek benim için vakit kaybiydi.. 
";negative
"isledigi konu güzeldi, kendisi berbat ötesi.hayatimda yarim birakip çiktigim tek film.. 
";negative
"nasil katlandim bende bilmiyorum izlemeyin lütfen rica ediyorum. 
";negative
hala izlemedigseniz bir yolunu bulun ve izleyin derim ben senaryo cok ama cok genis bir suru seyi merak ediyorsunuz ve 2 3 sn lik bir sahne bile cok sey acikliyor bir film bu kadarmi guzel olur.;positive
"tom hanksin kötu filmi oldumu hiç ?  gerçekten harkulade bir filmm tom hanks bir baska oyunculuk yapiyor sanki gercekte olan birsey gibi seyirciye aktariyor ve seyirciyi içine çekiyor muhakkak izlemenizi tafsiye ederim.. 
";positive
"freeeeeeeedooooooooom..... baska söze gerek yok heralde.... 
";positive
"abartildigi kadar ne heyecan var ne de romantizm.seyirciye bunu veremiyorlar.ben hayalkirikligina ugradim.. 
";negative
"son zamanlarda izledigim en iyi filmdi kesinlikle izlenmeli...... 
";positive
"açikçasi verdigim paraya acidim ve filmi izlerken çok sikildim.kesinlikle gidilmeyecek filmler arasinda. 
";negative
"olmamis bu mummy o bildigimiz mummy filmi degil sarmadi beni  oda adi var diye. 
";negative
"nicolas cagein 'güvendigim iki kisi vardir.biri benim digeride sen degilsin' repligi unutulmazlar arasinda yerini almistir...iyi bir aksiyon.... 
";positive
sirf basrol oyuncusunun hatrina 4 puan verdim...film cok kotu....;negative
"cok kotu bi film.zaman kaybi.. 
";negative
"ne zamandir böyle duygu yogunlugu yasamamistim.gerçekten insanin göz yaslarini tutmasi zor bu filmi izlerken.emegi geçen herkese tesekkürler.. 
";positive
"bu adam gerçekten harika...aksiyon ve komedinin bir arada bulundugu bu süper filmi kaçirmayin derim...basit bi konuyu bu kadar ilgi çekici hale getiren baska bi film daha görmedim.... 
";positive
"vizyona girmeden, dogrudan dvd den, 'dis perisi' ismi ile çikan, çocugunuz ya da ufak kuzeniniz için kiraliyabileceginiz bir film. fazlasi degil.... 
";negative
"çook güseldi sevgilimle keyifle izledikkk. 
";positive
"begenmiyen olursa hayati boyunca sinamalarin önünden geçmesin.. 
";positive
"çok saçma bir film olmus kesinlikle. 
";negative
"george cooloney artik film çevirmesin,sinemadan uzak dursun nedir bu ya,hiç tavsiye etmiyorum,yaziklar olsun bu kadroyada,yönetmenede.. 
";negative
"bence gayet güzel bir filmdi,seyretmeyenlere tavsiye ediyorum.. 
";positive
"süperrrrrrrrr bir film tek kelimeyle acaip süper ben bu filmi sinemada izledim çok korkunç ve maceraydi içimden tekrar tekrar izlemek geldi hayatimin en iyi animasyonu diyebilirim sanki filmin içindeymis gibiydim çok korktum ama herkeze tavsiye ederim herkez izlesin..... 
";positive
"ne desem azdir bu film için... erkek adam aglamaz derler ya... bu filmi izleyip te aglamasin da göreyim. tam bir aile filmi ve bizleri çok iyi analtan türden. mutlaka izleyin. 
";positive
"film i yeni izledim bende genel olarak iyi bir film begendim ancak konusu klasik polisiye filmlerde oldugu gibi bisi geldi bana yinede izlenmeye deger... 
";positive
"oyunculuklar filmi götürmüs.konu olarak belli bir kesime hitab ediyor.herkes umdugunu bulamayabilir. 
";negative
"sonu, insani hakikaten hüzünlendiriyor.... 
";positive
"yani tamam berbat filan degildi kabul ama artik ne gerek var su filme.yani freedynin her dakika ne yaptigini ezberledik artik ve isin daha kötüsü film artik ne korkutuyor ne de geriyor  bitmesi dilegiyle. 
";negative
"j.j. abrams tüm hayati boyunca sanirim 2 tane film izlemis; steven spielbergin ""e.t.""si ve ""3.türle yakinlasmalar"".. . 10 üzerinden 1..";negative
"belki oscarlik bir filmdir ama israil yapimi bir filme gidip para vermek içime sinmiyor.sanata saygi varda insanliga yok mu?. 
";negative
"beyazperde.com ile zevklerimizin uyusmadiginin en güzel örnegi olan filmdir. inanilmaz kötü; saçma yapay....koca salonda 8 kisi izlerken ikinci yari p kayipla basladik ve 3ü zaten bizdik. zamana paraya yazik...";negative
"evet will smith, sen gerçekten efsanesin!. 
";positive
"filmin devaminda zekice seyler olacagini düsünüyorsunuz fakat hersey o kadar kötüye gidiyorki film vasatliktan kurtulamiyor.. 
";negative
"yari belgesel olmasina ragmen, kurgulu sahnelerinin dehsetengiz gerçekligi tüyler ürpertici. mutlaka ama mutlaka seyredilmeli... . 
";positive
"film bi kere çok farkli olmus yani ilk kez böyle bir film izliyorum banyolarda geçen konusu degisik kisaca saçma diyebiliriz oyuncular iyi hosda daha iyi bir senaryo olsa oyuncular daha iyi oynarlardi bu film niye yapildi hala anlamiyorum ben begenmedim izlemenizide tavsiye etmem.... 
";negative
"jet li bize guzel solenler sunmaya devam ediyor..hero kadar olmasada bu film yasanmis hikayesiyle etkilemesini biliyor..her aninda guzel msjlar iceren seyirlik kaliteli bir yapim..biz almamiz gereken msjlari aldik peki ya ingilizler!!!!. 
";positive
"valla paranizin ve zamaninizin son kurusuna kadar karsiligini alacaginiz bir film.tempo hiç kaybolmuyor.sürüklenip gidiyorsunuz.sürekli taraf degistiriyor ama sonunda hadi canim diyorsunuz.kaçirmayin.... 
";positive
"harika bir filmdi. son zamanlarda izledigim en iyi film ve arsivimin nadide parçasi olan olagan süpheliler'in yanina koydum.  veriyorum.. 
";positive
zaman kaybi bir filmdi,. bastaki ve sondaki müzik güseldi sadece... 2 anca aldi!.;negative
"nicolas cage'e neler oluyor? rtesmen son zamanlarda felaket ötesi filmlerde kendini harciyor... firtinali hayatlar, lanetli ada vasatinda altinda. adi ve karizmasi kullaniliyor resmen baska birsey degil.....bir tek savas tanrisi iyiydi..... 
";negative
çok uzun diyaloglar var. film gereksiz yere uzatilmis. 2 saatini atsan hiçbir sey fark etmez. serinin en kötüsü....;negative
"bu neydi ya! gerçektend eçok kalitesiz bir filmdi. evde nanayi izlerim daha zevkli olur. 
";negative
"süper film zaten kadrodanda belli oluyo, az filmde bu kadar gülersiniz benden söylemesi.. 
";positive
"gerçekten harikulade bir konu ve will smitin bi okadar harika oyunculuguyla birlesen çok güzel bir film bukadar elestiriyi haketmiyor. 
";positive
"berbat bir film vakit kaybi .filmhastasina tamamiyle katiliyorum çok hakli .... 
";negative
"çok eglenmistimmm herkese tavsiye edilirr zaten kadroo muhtesemm... 
";positive
"nicolas cage nin en kötü filmi. eger bu filmi izlemeyi düsünüyorsaniz bos oturmaniz sizin için daha faydali olucaktir.. 
";negative
"basarisiz tek kelimeyle. iki usta oyuncu bi bakiyorsunuz var bi bakiyorsunuz oyundan çikmislar. replik yok kurgu yok müzik yok. ne var peki?. 
";negative
film resmen erotik.kokrku unsura sadece son 15 dakika var o da korku degil tam anlamiyla vahset. bence zamaniniza yazik çok kötü bir film..;negative
"iste nolan bu... nolan kardesler senaryoyu süper bir sekilde isleyerek kurgulamislar ve süper bir film olmus. siddetle tavsiye ederim  . 
";positive
filmde görsel effek namina bir sey yoktu yinede emegine saygi inanin o animasyon yurt disinda yapilsaydi film 10 numara bir film olurdu ama animasyonlar berbat.;negative
"o kadar abartilacak bir film degil. bence zaman kaybi. zaten bir iki ses irkilmesi disinda bir espriside yok. dabbeden sonra izledigim en felaket korku filmi.. 
";negative
"vasat... zaman kaybi... bi kaç espriye gülüyosun ama o kadar.... 
";negative
film oldukça güzel, klasmanindaki filmlerle karsilastirildiginda bas rol çok daha sempatik.. üstelik yasanan çaresizlik ve dram çok iyi göz önüne serilmis, filmin tek eksigi 3 yilin nasil geçtigini göstermemeleri.;positive
"ben begenmedim(). 
";negative
"simdiye kadar çekilmis en iyi birkaç vampir filminden biri. . 
";positive
"hiç begenmedim ne konu var ne de komik birsey hep ayni sahneler dönüp dolasip geliyor önünüze .....zamaniniza ve paraniza yazik olmasin... tavsiye etmem :(:( 
";negative
"bu zamana kadar izledigim en kötü filmdisonuna kadar bi umudum vardi biseler olcak diye ama tamamen hüsran.bence bosuna para harcamislar bu filme.yazik diyorum bisey demiyorum.. 
";negative
"bu filmi begenmeyenler gitsin de ironman, transformers gibi filmleri izlesinler. onlarin konulari süper degil mi?. 
";positive
"hiç sevmedigim bir film serisi. bir türlü isinamadim su filme. oyuncularin oyunculuklari çok soguk.. 
";negative
bu yasima kadar izledigim en güzel savas, ask ve ulusal bagimsizligi birarada barindiran basyapit...(yasim 31 bu arada).;positive
"cok siradisi bir gerilim filmi,filmin bu kadar etkileyici olmasindaki en buyuk etkenlerden biriside john cuasck un oyunculugu.ben begendim tavsiye ederim. 
";positive
"aslina bakildiginda çikis yolu, felsefesi güzel bir film; fakat diyaloglar sikiciydi, daha güzel islenebilirdi. ama müziklerini begendim.. . 
";negative
"vasat vasat vasat. 
";negative
"cok guzel bir filmdi...biraz komedi biraz dram yani kisacasi butun duygulardan bir tutam atilmis filmin icine...gercekten cok iyi bi filmdi...herkes izlemeli.... 
";positive
"tempolu... görüntü yönetmenini ayakta alkislamak lazim. müziklerde süper...daha ne olsun.... 
";positive
"hayatimda gittigim en kötü türk filmi arkadaslar turk sinemasina katkida bulunalim destekleyelim gidelim ama bu kadar kötüsüne deil paraniza yazik ne oyunculuk,ne replikler hiç bir yerden kurtarmio berbat. 
";negative
adminim allah inizi severseniz bu nasil bir puanlama sistemidir.sirf puanlama sisteminiz yüzünden onca arkadasimiz bu siteyi takip etmeyi birakti.koskoca imdb bile 10 üzerinden yapiyor,siz neden ilkokul çocuklari gibi 5 üzerinden yapiyorsunuz.çok saçma.lütfen düzeltebilirseniz düzeltin.;negative
"bu kadar kopya film görmedim. konusu teksas katliamina benziyo nerdeyse tipa tip ayni.sonlari güzel olsada hiç tatmin edici degil izlenmeyecek kötü bir film.. 
";negative
"film vasatin yakinina bile gelemez. berbat derece bir senaryo. oyunculuk yine vasatin altinda. ilk iki mumya filmine kötü bir devam olmus. sinema yerine tvye gelmesini bekleyin. zaten gelincede o aksam oynayan diziyi izlersiniz :) 
";negative
"sirf su daniel craig denen ilginç tip yüzünden gitmeyecegim bu filme;i izlemeyi de düsünmüyorum. james bond dedigin adam esmer olur, yakisikli olur. önüm arkam sagim solum kas diye dolasan bir heriften olsa olsa amerikan güresçisi olur.. 
";negative
izlemeye tahamul edebildigim ilk 30 dk. için filme notum 10 .ancak arkadaslarin yorumlarindan anladigim kadariyla fazla bisey kaçirmamisim.tek kelimeyle rezalet;negative
5+ puani haketmedigini düsünüyorum.;negative
"klasik bir ask filmi oldugu ilk sahnelerinden belli olsa da , daha sonra konuyu isleyis tarzi ve romantizmi ayrica gemideki sahneler ve rdn nin karaktere verdigi performans için kesinlikle izlenmesi gereken bir film. take that sevmem ama soundtrack teki performans müthisti onu da tavsiye ederim.... 
";positive
"cage,cusack ve malkovich süper oynamislar.sonunda cusack'i da söyle siki bir aksiyonda seyretme imkani bulmak büyük bir zevk.cage'e gelince onu hiç bu kadar kasli!!! ,sert,sogukkanli ve uzun görmemistim.kesinlikle sürükleyici,kaçirilmamasi gereken bi film.tavsiye ederim.. 
";positive
"ben pek begenmedim. komedi filmi ama ilk yarisi biraz komik o kadar. espriler cok az. aslinda konusu güzel bos degil bu yüzdende sonuna kadar izlettiriyor kendini. bos vakitleri degerlendirmek için izlenebilir. sinemaya gidemedim diyenler üzülmesin kayip degil.. 
";negative
müzik in sinemayla bulustugu, harika filimlerden biri. ilk 40 dakikasi belki biraz sikiyor gibi gözüksede sonrasi çorap sökügü gibi geliyor..;positive
"benim için,adam sandler basli basina filmi izleme ve keyif alma sebebi..o yüzden eglendigim bir film oldu dogal olarak..fakat seneryoyu elestirenlere hak veriyorum.herhangi bir konu yok gerçekten..sadece eski arkadaslarin aileleriyle birlikte bir araya gelmesi ve eglenmesi... 
";positive
eskiya 1. babam ve oglum 2.dir türk sinema tarihinde....;positive
"fiilmin mantigi cok ayri bisey anlarsaniz filmi biraz begenirsiniz ama sadece biraz. ki mantigida cok sacma tavsiiye etmiyorum 
";negative
"kos forrest kos ... gerçekten süper bir film hiç bitmesin keske diyeceksiniz  
";positive
swank ve butler çok uyumlu ve basarililar bence.. film de gayet samimi ve etkili.. yaklasik 3 yil önce izledigim bu film bence en iyi romantik filmlerden biri...;positive
tarantino'nun yaptigi en iyi seydir bana göre.muhtesem her seyiyle  lük bir film... . zaten imdb'de tüm zamanlarin en iyi filmleri siralamasinda 5. siradadir bu film.. . bir sinemasever olarak hala izlememis olanin gerçekten çok sey kaybettigini gönül rahatligiyla söyleyebilirim.. . .;positive
"beyaz melekten bile ki onun da iyi oldugunu söyleyemeyecegim, daha kötüydü bence.. 
";negative
"filmin basi sikici olsada sabredim çünkü beklediginize degecek.çünkü gerilim korku hiç bitmeyecek.süper bir film degil ama izlediginize pisman olmazsiniz.müzik gerçekten iyiydi.oyuncular da basariliydi. 
";positive
"film güzeldi ama oyuncularin performansi bence iyi degildi hollywood oyuncularinin oskar kazanani bile sasirma korkma gibi duygulari aktaramamasi ve yetersiz jest ve mimikleriyle dikkat çekiyor.. 
";positive
"su ana kadar izledigim en iyi korku/gerilimdi.konusu çok güçlü ve çok da iyi sunulmus.filmin baslari da karekterlere isinilmasi için öyle uzun tutulmus bence ve bu da hos olmus.bu arada film niçin bu kadar düsük puan aldi hiç anlamadim.. 
";positive
"olaylarin akisi ilk bir saatte bu nasil film ya dedirtip son bölümde herseyin aydinlandigi degisik bir film görülmesi gerekir... 
";positive
"ahhhh ah ne agladim ya söylencek bisi yok kisaca runnnnnn frorrest runnnn. 
";positive
"mutlaka görülmesi gereken bir film. çok duygusal bir film. gerçek aski tanimlayan bir film ayni zamanda.. 
";positive
hayatimda izledim en iyi 5 film arasindadir.yok böyle bi film.gösteriler..iki sihirbazin birbirine meydan okumalari..muhtesem..10./10..;positive
"özgür olmayi seven insanlar için tek kelimeyke mükemmel bir film..kendimi her kaybettigimde bu filmi izlerim.çünkü alex supertramp olmak cesaret ister... . 
";positive
"asla bir korku filmi degildi..gerilimde degildii..sadece mide bulandiran biseyler vardi...konusu dikkat çekici ilginç ama mide bulandiriyo. 
";negative
"döneminin en iyi oyunu street fighter'a yakismicak bir film. mortal kombat serisinin filmleri ne kadar iyi ise buda aksine o kadar kötü bi film sanirim bir daha çekmezler bizde street fighter'dan mahrum kaliriz. yazik.... 
";negative
bu filmin neresini begendiniz anlayamiyorum. siradan bir filim. elinizde baska filimler varsa onlari izleyin.. 5 anca alir.;negative
"filmden çok fazla beklentim yoktu ama ilginç sekilde film sardi kendisine son derece kaliteli bir film jet li ustaligini konusturmus konuyu anlatis biçimi filmin akisi duygusallik kahramanlik hepsi var kaliteli bir film izlemeye deger. 
";positive
"oyunculuklar iyi ama konu çok vasat kalmis umdugum gibi çikmadi ayrica sinema filmi hiç degil. 
";negative
"arkadaslar, tüm yorumlari okuyamadim, belki farkeden olmustur daha önce ama; bu filmin senaryosu yagmur adam filminin birebir aynisi. bir de kalkip türk filmlerine destek olalim falan demeyin. bariz bir sekilde alinti var. buyurun, inceleyin; http://beyazperde.mynet.com/film/1844/arama/yagmur-adam.";negative
"bu kadroya bu oyunculuga söylenecek tek söz...mükemmel.... 
";positive
"kurgu basit.hopkins filmi kurtariyor o kadar.. 
";negative
"görsel efekt disinda ne oyunculuk ne de konu tam oturtulabilmis. zaman öldürmek amaçli ev sinemasi ile izlenebilir. iyi seyirler.... 
";negative
"kötü film izlemeyeli bayagi bir zaman geçmisti, isteyerek olmadi ama izlemis bulundum. yanina yaklasmayin. . 
";negative
"ben de bu filmin abimin tavsiyesi üzerine izledim ama gerçekten izlenmeye deger bir yapim ne kadar güzel oldugunu cümlelerle anlatamam bu filmi izleyip de hayata tutunmamak mümkün degil fazla söze gerek yok kesinlikle izleyin pisman olmayacaksiniz. 
";positive
"ben düsünüyorum ki birdaha böyle bi film izlememem gerekir. film boyunca içim parçalandi. kendimi aci çekmis hissettim. allah' tan arada güldürdü de hüngür hüngür aglamadim. bence herkes izlemeli ama sinemada degil. evde 
";positive
daha önce 3 versiyon japonca olarak çikti ayip denen bir sey var abd li yonetmenler uyaniklik yaparak konulari degistirip önumüze sunuyorlar konu gfüzel ama filmi izledik dolayli olarak.;negative
"saglam film ............... 
";positive
dramatik olarak daha iyi bir film.atalarimizin bayraklarindan daha iyi olmus begenmeyenler içi bos konulu senaryosuz kan-siddet içeren filmlerden haz aliyor muhakkak bence 10 numara....;positive
"li ve statham, kapismasinda ikinci raund.... 
";positive
"filmin afisine,senaryosuna,kadrosuna,fragmanina falan aldanmayin.aksiyon namina hiçbir özellik tasimayan,inanilmaz monoton bir film.zor bitirdim.... 
";negative
"anlamiyorum ya; bu kadar harika bir film birakin oscar almayi, aday bile olamadi... ilüzyonist olsun prestij olsun harika filmlerdi fakat nasil bir elestirmen toplulugu veriyorsa bu oscar'i kimlere dagittilar...yazik... harika bir film, herkes izlemeli bence.... 
";positive
"oyuncunun basarisiyla kotarilmis, iyi bir gerilim.mutlaka izleyin.. 
";positive
"aslinda konusu çok klasik ama yinede basarili bir yapim. biraz yavas ilerliyor o kadar.... 
";positive
1.filmin yanindan geçemez,belki 1 tane ünlü oyuncuyla filme izlenebilirlik katabilirlerdi ama olmamis basit bir amerikan gençlik filmi gibi =). sakin izlemeyin desem abartmis olmam galiba =).;negative
"kesnlkle cok hos bir film,aldigi puani kesinlkle hakeden fantastik bir uyarlama..yildizlara olan ilgi ve sempatiniz articak... 
";positive
2d yi becerdikte bir 3d miz eksikti.sinemada içerikte sinifta kaldik belki teknikte kurtaririz hadi bakalim..;negative
"ya kadro ve senaryo olarak çok saglam bi film ama çok karisik dikkatle izlenmeli diyorum ayrica sonuda çok sasirtici. 
";positive
"kesinlikle çok basarili bir animasyon.. öncelikle tarafli bir animasyon diyen arkadaslara kesinlikle katilmiyorum çünkü hem avrupanin hem iranin kötülüklerini yansitan bir animasyon.. her türlü duyguyu içinde barindiran bir animasyon siddetle tavsiye ediyorum!  
";positive
"bana göre çok kötü bir filimdi türkler bu isin basinda ve becereceklerini gösteriyorlar büyüg filimi bu filime göre daha güzel bu isler basamak basamak ilk önce okul filimi sonra büyü devami gelsin. 
";negative
"güzel bi animasyon ama en güzeli bence arabalar filmi. 
";positive
"son derece akillica ve basarili bir film.üstüne bir de en sevdigim iki oyuncu(bale&amp;jackman)da olunca filmden aldigim zevk en üst düzeye çikti.. 
";positive
"basarili bir film olmus. gerçi kuzularin sessizligi ile baslayip hannibal la devam eden seriden sonra daha fazlasini bekliyoruz ama yine de gayet basarili. agzimda hos bir tat birakti diyebilirim... 
";positive
"imax te izlenince farkli oluo bu film.su an için gidilebilecek en iyi film.vizyondan kalkmadan izlenmesi gereken bir film.. 
";positive
